sale_id,product_category,price_usd,customer_age,customer_loyalty_years,region,sales_channel,season,discount_applied,sale_success
SALE-00001,Rose Wine,94.11,43,9,East,Physical Store,Spring,0,1
SALE-00002,Rose Wine,39.4,30,14,West,Physical Store,Winter,1,1
SALE-00003,Sparkling Wine,146.36,57,0,North,Online,Spring,1,1
SALE-00004,White Wine,46.46,31,4,West,Physical Store,Spring,0,0
SALE-00005,Rose Wine,35.58,40,1,North,Physical Store,Summer,1,1
SALE-00006,Sparkling Wine,85.94,38,7,West,Online,Spring,1,1
SALE-00007,Sparkling Wine,22.41,24,4,South,Physical Store,Spring,0,0
SALE-00008,Rose Wine,104.42,69,12,North,Online,Summer,0,0
SALE-00009,Red Wine,148.36,68,3,South,Physical Store,Autumn,1,0
SALE-00010,White Wine,45.66,80,9,East,Online,Summer,0,1
SALE-00011,Sparkling Wine,143.34,73,1,North,Online,Winter,0,0
SALE-00012,White Wine,73.22,36,12,North,Physical Store,Summer,1,0
SALE-00013,Sparkling Wine,148.39,25,1,East,Physical Store,Winter,1,1
SALE-00014,White Wine,18.16,60,10,South,Online,Autumn,0,0
SALE-00015,Red Wine,144.74,63,4,South,Physical Store,Winter,0,0
SALE-00016,Sparkling Wine,63.65,28,1,North,Physical Store,Winter,0,0
SALE-00017,White Wine,88.03,37,11,West,Physical Store,Winter,0,1
SALE-00018,White Wine,87.04,35,10,North,Physical Store,Spring,0,1
SALE-00019,White Wine,97.9,52,5,East,Physical Store,Winter,1,1
SALE-00020,White Wine,145.24,46,3,North,Online,Autumn,0,0
SALE-00021,Red Wine,20.73,31,3,South,Online,Summer,1,0
SALE-00022,Sparkling Wine,42.73,79,15,East,Online,Spring,0,0
SALE-00023,White Wine,104.84,37,3,West,Online,Summer,1,1
SALE-00024,Sparkling Wine,47.25,74,10,South,Online,Winter,0,1
SALE-00025,White Wine,115.75,51,7,South,Online,Winter,0,0
SALE-00026,Rose Wine,21.79,53,11,East,Physical Store,Spring,1,1
SALE-00027,Sparkling Wine,145.18,39,7,North,Physical Store,Spring,0,1
SALE-00028,Sparkling Wine,20.1,22,3,West,Online,Summer,0,0
SALE-00029,White Wine,112.71,72,15,East,Physical Store,Spring,0,0
SALE-00030,Red Wine,145.13,79,8,West,Physical Store,Autumn,0,0
SALE-00031,Rose Wine,100.66,47,9,East,Physical Store,Spring,0,0
SALE-00032,White Wine,54.03,63,3,South,Physical Store,Autumn,0,0
SALE-00033,Sparkling Wine,64.52,60,13,East,Online,Summer,0,1
SALE-00034,Sparkling Wine,137.49,48,9,North,Online,Winter,0,0
SALE-00035,Red Wine,102.05,47,12,North,Physical Store,Spring,1,1
SALE-00036,Rose Wine,117.99,76,8,South,Physical Store,Winter,1,1
SALE-00037,Sparkling Wine,45.54,37,5,West,Physical Store,Autumn,0,1
SALE-00038,White Wine,35.32,52,13,East,Physical Store,Summer,1,0
SALE-00039,Red Wine,16.11,58,1,West,Online,Winter,0,0
SALE-00040,Red Wine,117.19,37,4,South,Physical Store,Spring,0,0
SALE-00041,Red Wine,116.97,47,2,South,Online,Spring,0,1
SALE-00042,White Wine,147.37,76,9,East,Physical Store,Summer,1,0
SALE-00043,Sparkling Wine,46.56,76,0,South,Online,Autumn,1,0
SALE-00044,White Wine,92.9,46,10,South,Online,Summer,0,1
SALE-00045,White Wine,73.0,23,15,South,Physical Store,Summer,1,1
